"nome","previsto","disciplina","descricao"
"ABC002-CE-DOC-004-01 - Carta coelba.docx","0","CE"," Correspondencias e Relatorios Emitidos"
"ENC  PROJETOS BÁSICOS COMPATIBILIZADOS -Troller.msg","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:50-863-1915-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:50-653-1350-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-14 10:10:27-2444-3180-ABC002 - QD.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:02:56-795-2019-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 21:01:28-791-855-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 20:32:29-767-767-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 18:40:07-767-767-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 13:28:45-766-766-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 19:17:43-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:47-615-1262-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 21:16:18-791-855-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 15:05:07-766-766-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 19:33:57-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:50-812-1594-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-11-05 18:01:05-1701-5097-ABC002-HD-PE-DWG-00X-00 - GERAL.eml","0","CR"," Correspondencias Recebidas"
"2014-10-13 12:13:38-2327-3051-ABC002 - QD.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:48-2620-6954-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 11:57:11-767-767-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 18:36:37-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-11-10 10:01:17-4591-5885-ABC002.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:05-2846-3680-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 21:01:16-767-767-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-12-01 13:01:19-4641-9361-ABC002 - DADOS DO PROJETO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 21:16:02-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 11:54:17-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:47-610-1549-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:50-644-923-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"ENC  PROJETOS CONTICAR TROLLER.msg","0","CR"," Correspondencias Recebidas"
"2014-09-30 20:53:40-766-766-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:09-978-2198-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 20:30:23-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:49-652-1121-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 13:27:22-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:02:58-3982-6436-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"ENC ABC002 APROVA COELBA.htm","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:50-1588-3077-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 21:14:06-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 21:00:12-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:00-8466-12553-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:07-489-1217-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:08-2590-5355-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 14:58:40-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 19:34:22-791-855-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 15:02:34-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:06-390-503-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:48-1835-2382-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:02:57-861-2128-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 21:15:56-767-767-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 16:57:10-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 13:27:19-767-767-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-30 15:02:47-5451-8404-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 20:32:34-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:46-630-1333-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:45-606-1106-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:09-1723-3483-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:51-1269-2465-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 11:58:38-791-855-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 21:01:55-766-766-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 19:31:35-1701-2201-ABC002 - SOLICITA INFORMACOES TROLLER.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:05-754-1853-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:47-2405-3557-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-09-30 20:32:53-791-855-ABC002 - LDP E CARIMBO.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:48-588-1208-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-11-10 10:01:22-1954-5085-ABC002.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 19:18:41-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:03-1156-2566-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:00-872-2114-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-21 12:03:09-858-1508-ABC002-  CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:49-1675-3348-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-03 09:02:46-586-1142-ABC002- CADASTRO NO SISTEMA.eml","0","CR"," Correspondencias Recebidas"
"2014-10-01 11:57:16-1660-2000-ABC002 - ARQUITETURA.eml","0","CR"," Correspondencias Recebidas"
